direction_name,block_id,route_id,service_id,direction_id,trip_headsign,wheelchair_accessible,shape_id,trip_id,start_time,end_time
Eastbound,a_2033_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5897__2033_Timetable_-_2023-10,0 days 13:27:00,0 days 14:18:00
Eastbound,a_2025_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5898__2025_Timetable_-_2023-10,0 days 13:47:00,0 days 14:38:00
Eastbound,a_2076_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5899__2076_Timetable_-_2023-10,0 days 13:57:00,0 days 14:48:00
Northbound,a_4013_Timetable_-_2023-10,407,Weekday_merged_999971,0,C - Harmony Terminal,1,100.0.1046829531_Timetable_-_2023-10,589__4013_Timetable_-_2023-10,0 days 12:24:00,0 days 12:52:00
Eastbound,a_2059_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5900__2059_Timetable_-_2023-10,0 days 14:17:00,0 days 15:08:00
Eastbound,a_2019_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5901__2019_Timetable_-_2023-10,0 days 14:27:00,0 days 15:18:00
Eastbound,a_2035_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5902__2035_Timetable_-_2023-10,0 days 14:47:00,0 days 15:38:00
Eastbound,a_2050_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5903__2050_Timetable_-_2023-10,0 days 14:57:00,0 days 15:48:00
Eastbound,a_2006_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5904__2006_Timetable_-_2023-10,0 days 15:17:00,0 days 16:08:00
Eastbound,a_2064_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5905__2064_Timetable_-_2023-10,0 days 15:27:00,0 days 16:18:00
Eastbound,a_2033_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5906__2033_Timetable_-_2023-10,0 days 15:47:00,0 days 16:38:00
Eastbound,a_2025_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5907__2025_Timetable_-_2023-10,0 days 15:57:00,0 days 16:48:00
Eastbound,a_2076_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5908__2076_Timetable_-_2023-10,0 days 16:17:00,0 days 17:08:00
Eastbound,a_2059_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5909__2059_Timetable_-_2023-10,0 days 16:27:00,0 days 17:18:00
Southbound,a_4074_Timetable_-_2023-10,407,Weekday_merged_999971,1,A - Raleigh,1,100.0.1046829532_Timetable_-_2023-10,590__4074_Timetable_-_2023-10,0 days 12:25:00,0 days 12:59:00
Eastbound,a_2019_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5910__2019_Timetable_-_2023-10,0 days 16:47:00,0 days 17:38:00
Eastbound,a_2016_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5911__2016_Timetable_-_2023-10,0 days 16:57:00,0 days 17:48:00
Eastbound,a_2006_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5912__2006_Timetable_-_2023-10,0 days 17:22:00,0 days 18:13:00
Eastbound,a_2033_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5913__2033_Timetable_-_2023-10,0 days 17:52:00,0 days 18:43:00
Eastbound,a_2076_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5914__2076_Timetable_-_2023-10,0 days 18:22:00,0 days 19:09:00
Eastbound,a_2016_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5915__2016_Timetable_-_2023-10,0 days 18:52:00,0 days 19:39:00
Eastbound,a_2006_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5916__2006_Timetable_-_2023-10,0 days 19:22:00,0 days 20:09:00
Eastbound,a_2033_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5917__2033_Timetable_-_2023-10,0 days 19:52:00,0 days 20:39:00
Eastbound,a_2076_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5918__2076_Timetable_-_2023-10,0 days 20:22:00,0 days 21:09:00
Eastbound,a_4055_Timetable_-_2023-10,502,Weekday_merged_999971,0,Simpson,1,100.0.1952652002_Timetable_-_2023-10,5919__4055_Timetable_-_2023-10,0 days 08:18:00,0 days 08:43:00
Southbound,a_4072_Timetable_-_2023-10,407,Weekday_merged_999971,1,Raleigh,1,100.0.1952647814_Timetable_-_2023-10,591__4072_Timetable_-_2023-10,0 days 12:55:00,0 days 13:20:00
Eastbound,a_4063_Timetable_-_2023-10,411,Weekday_merged_999971,0,B - Raleigh,1,100.0.1952650523_Timetable_-_2023-10,5920__4063_Timetable_-_2023-10,0 days 19:06:00,0 days 19:20:00
Eastbound,a_4017_Timetable_-_2023-10,411,Weekday_merged_999971,0,B - Raleigh,1,100.0.1952650523_Timetable_-_2023-10,5921__4017_Timetable_-_2023-10,0 days 19:36:00,0 days 19:50:00
Northbound,a_4068_Timetable_-_2023-10,403,Weekday_merged_999971,0,Oshawa Centre Terminal,1,100.0.1813946333_Timetable_-_2023-10,5922__4068_Timetable_-_2023-10,0 days 06:42:00,0 days 06:48:00
Northbound,a_4074_Timetable_-_2023-10,407,Weekday_merged_999971,0,Harmony Terminal,1,100.0.1952647813_Timetable_-_2023-10,592__4074_Timetable_-_2023-10,0 days 12:59:00,0 days 13:25:00
Northbound,a_4072_Timetable_-_2023-10,407,Weekday_merged_999971,0,C - Harmony Terminal,1,100.0.1046829531_Timetable_-_2023-10,593__4072_Timetable_-_2023-10,0 days 13:24:00,0 days 13:52:00
Southbound,a_4037_Timetable_-_2023-10,407,Weekday_merged_999971,1,A - Raleigh,1,100.0.1046829532_Timetable_-_2023-10,594__4037_Timetable_-_2023-10,0 days 13:25:00,0 days 13:59:00
Southbound,a_4040_Timetable_-_2023-10,407,Weekday_merged_999971,1,Raleigh,1,100.0.1952647814_Timetable_-_2023-10,595__4040_Timetable_-_2023-10,0 days 13:55:00,0 days 14:20:00
Northbound,a_4037_Timetable_-_2023-10,407,Weekday_merged_999971,0,Harmony Terminal,1,100.0.1952647813_Timetable_-_2023-10,596__4037_Timetable_-_2023-10,0 days 13:59:00,0 days 14:25:00
Northbound,a_4040_Timetable_-_2023-10,407,Weekday_merged_999971,0,C - Harmony Terminal,1,100.0.1046829531_Timetable_-_2023-10,597__4040_Timetable_-_2023-10,0 days 14:24:00,0 days 14:52:00
Southbound,a_4069_Timetable_-_2023-10,407,Weekday_merged_999971,1,A - Raleigh,1,100.0.1046829532_Timetable_-_2023-10,598__4069_Timetable_-_2023-10,0 days 14:25:00,0 days 14:59:00
Southbound,a_4034_Timetable_-_2023-10,407,Weekday_merged_999971,1,Raleigh,1,100.0.1952647814_Timetable_-_2023-10,599__4034_Timetable_-_2023-10,0 days 14:55:00,0 days 15:20:00
Northbound,a_4069_Timetable_-_2023-10,407,Weekday_merged_999971,0,Harmony Terminal,1,100.0.1952647813_Timetable_-_2023-10,600__4069_Timetable_-_2023-10,0 days 14:59:00,0 days 15:25:00
Northbound,a_4034_Timetable_-_2023-10,407,Weekday_merged_999971,0,C - Harmony Terminal,1,100.0.1046829531_Timetable_-_2023-10,601__4034_Timetable_-_2023-10,0 days 15:24:00,0 days 15:52:00
Southbound,a_4017_Timetable_-_2023-10,407,Weekday_merged_999971,1,A - Raleigh,1,100.0.1046829532_Timetable_-_2023-10,602__4017_Timetable_-_2023-10,0 days 15:25:00,0 days 15:59:00
Southbound,a_4070_Timetable_-_2023-10,407,Weekday_merged_999971,1,Raleigh,1,100.0.1952647814_Timetable_-_2023-10,603__4070_Timetable_-_2023-10,0 days 15:55:00,0 days 16:20:00
Northbound,a_4017_Timetable_-_2023-10,407,Weekday_merged_999971,0,Harmony Terminal,1,100.0.1952647813_Timetable_-_2023-10,604__4017_Timetable_-_2023-10,0 days 15:59:00,0 days 16:25:00
